restaurant_name,categories,address,review_count,rating,station_name,distance
Il Vinaio,"Sandwiches, Tuscan, Fast Food",Via Camollia 167,12,4.3,Antiporto,414.7080485270773
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,Antiporto,1177.428981530476
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,Antiporto,1287.2085725139164
La Chiacchiera,Italian,Via Costa di San Antonio 4,23,4.3,Antiporto,1135.7333916353962
Salefino Vino e Cucina,"Tuscan, Wine Bars",Via degli Umiliati 1,11,4.5,Antiporto,729.2246722651199
Café Nannini,Cafes,Piazza Matteotti 32,14,4.4,Antiporto,965.2285567437651
Ristorante Pizzeria I Gabellieri,Pizza,Via V. Emanuele 75,2,4.0,Antiporto,21.55550155548726
Ristorante San Domenico,Tuscan,Via di camporegio 15,7,4.7,Antiporto,1102.8594267706262
Osteria di Kamollia,Tuscan,Via di Camollia 114,9,4.2,Antiporto,553.8601830634374
L'oro di Siena,"Pizza, Italian, Trattorie",Via Garibaldi 61,9,4.8,Antiporto,892.8690137883399
Osteria Il Grattacielo,Italian,Via Pontani 8,36,4.1,Antiporto,1205.0572007002397
Sushiko,"Sushi Bars, Asian Fusion",Piazzale Carlo Rosselli 25,2,4.0,Antiporto,216.55854892762764
Pizzeria alle Scalette,Pizza,Viale Curtatone 18,5,4.6,Antiporto,979.1505547054105
Ristorante Da Enzo,Italian,Via Camollia 49,7,4.6,Antiporto,691.8371797785406
Trattoria La Tellina,"Mediterranean, Tuscan, Trattorie",Via delle Terme 52,6,4.3,Antiporto,1201.964874917085
Il Masgalano,"Tuscan, Pizza",Via Camporegio 1,4,4.8,Antiporto,1060.5260136820502
Ristorante Minohana,Tuscan,Viale Vittorio Emanuele II 32,2,1.0,Antiporto,152.06299121902896
Donna Ripalta,"Tuscan, Seafood, Apulian",Viale Pietro Toselli 41,1,4.0,Due Ponti,84.06785457395976
Havana Club,"Cuban, Steakhouses",Piazza Maestri del Lavoro 27,1,5.0,Due Ponti,217.53998284698952
Albergo Certosa di Maggiano,"Hotels & Travel, Restaurants","Str. di Certosa, 82",2,5.0,Due Ponti,822.5458659038122
Fontebecci,"Pizza, Italian",Via Fiorentina 133,2,2.0,Napoli,36.86679666722005
Mc Donald's,"Fast Food, Burgers",Via Fiorentina 124,1,2.0,Napoli,135.94427190183262
la veranda,Italian,Piazza Calabria,6,4.7,Napoli,601.6252259216968
Antica Trattoria Botteganova,"Italian, Bars",Strada Chiantigiana 29,1,5.0,Napoli,659.4005888623332
Skile' Music Bar,Cafes,Piazza Calabria 18,1,3.0,Napoli,605.2291600282962
Hotel Garden,"Venues & Event Spaces, Hotels, Italian",Via Custoza 2,13,2.8,Acquacalda,1146.6171969068578
la veranda,Italian,Piazza Calabria,6,4.7,Acquacalda,1075.4705266513163
Mc Donald's,"Fast Food, Burgers",Via Fiorentina 124,1,2.0,Acquacalda,741.3445397964049
Fontebecci,"Pizza, Italian",Via Fiorentina 133,2,2.0,Acquacalda,657.9800999616834
Skile' Music Bar,Cafes,Piazza Calabria 18,1,3.0,Acquacalda,1093.2766295340255
La Taverna di San Giuseppe,Tuscan,Via Giovanni Dupre 132,169,4.8,Ravacciano,1091.2645488726173
Il Bargello,"Bars, Trattorie, Tuscan",Via di Citta' 53,23,4.5,Ravacciano,924.5368214670108
La Prosciutteria,"Wine Bars, Tuscan",Via di Pantaneto,34,4.7,Ravacciano,708.3897199292325
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,Ravacciano,905.5277371590556
Antica Osteria da Divo,Italian,Via Franciosa 25,67,4.2,Ravacciano,1099.3592533313006
Fonte Giusta,Tuscan,Via Camollia 102,21,4.6,Ravacciano,970.637496752018
Antica Trattoria Papei,"Tuscan, Trattorie",Via del Mercato 6,35,4.2,Ravacciano,874.5097588030465
Vi Vace,"Pizza, Italian",Via Stalloreggi 64,34,4.3,Ravacciano,1275.8530057264636
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,Ravacciano,811.9349826688245
Numero Unico,Italian,Via di Citta 125,17,4.5,Ravacciano,1073.3183974538183
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,Ravacciano,701.7432267070961
La Chiacchiera,Italian,Via Costa di San Antonio 4,23,4.3,Ravacciano,903.8359529240909
Café Nannini,Cafes,Piazza Matteotti 32,14,4.4,Ravacciano,857.9628049110418
Ri.Me.,Tuscan,Via Giovanni Duprè 90,15,4.3,Ravacciano,1058.8826795638254
Gallo Nero,Tuscan,Via del Porrione 65,11,4.4,Ravacciano,749.0228960884958
Salefino Vino e Cucina,"Tuscan, Wine Bars",Via degli Umiliati 1,11,4.5,Ravacciano,867.1372428579568
Nannini,"Desserts, Patisserie/Cake Shop, Cafes",Via Banchi di Sopra 24,20,4.2,Ravacciano,749.4629536574713
Ostaria dá Cice,Italian,Via San Pietro 32,14,4.0,Ravacciano,1126.0019201978141
Ristorante San Desiderio,Italian,Piazza L. Bonelli 2,16,3.9,Ravacciano,966.2643116849107
Osteria La Sosta di Violante,Tuscan,Via di Pantaneto 115,25,4.6,Ravacciano,734.3596364110529
Fonte Giusta,Tuscan,Via Camollia 102,21,4.6,Terminal Bus,776.7257049114709
Ravioli Wang,Chinese,Viale Vittorio Emanuele II 38,9,4.8,Terminal Bus,424.9526588211536
Salefino Vino e Cucina,"Tuscan, Wine Bars",Via degli Umiliati 1,11,4.5,Terminal Bus,948.1293468409879
Il Vinaio,"Sandwiches, Tuscan, Fast Food",Via Camollia 167,12,4.3,Terminal Bus,630.986858019045
Osteria di Kamollia,Tuscan,Via di Camollia 114,9,4.2,Terminal Bus,765.2880088434098
L'oro di Siena,"Pizza, Italian, Trattorie",Via Garibaldi 61,9,4.8,Terminal Bus,1016.2162345511687
Sushiko,"Sushi Bars, Asian Fusion",Piazzale Carlo Rosselli 25,2,4.0,Terminal Bus,193.9925360536807
Ristorante Da Enzo,Italian,Via Camollia 49,7,4.6,Terminal Bus,917.3055828773076
Susy Sushi,"Japanese, Sushi Bars",Piazza Rosselli,1,4.0,Terminal Bus,172.55804094643364
Mozzarella e Basilico,"Trattorie, Napoletana, Pizza",Piazzale Rosselli 25,1,1.0,Terminal Bus,203.55937637256366
