restaurant_name,categories,address,station_name,distance
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,Mercato,237
La Bottega Del Caffè,"Bar, Café, Restaurant",Via Banchi di Sotto 39,Mercato,202
Caffè Fiorella,Café,Via di Città 13,Mercato,235
Ristorante San Desiderio,"Pizzeria, Italian Restaurant",Piazzetta Bonelli Luigi 2,Mercato,244
Mensa San Miniato Ristorante,Restaurant,Via de Nicola 9,Calamandrei,110
Il Palio Restaurant,Restaurant,Via A. Lombardi 41 Four Points by Sheraton,Calamandrei,448
La Pizzeria di San Miniato,Pizzeria,Piazza Palmiro Togliatti 2,Calamandrei,576
La Veranda,Pizzeria,Piazza Calabria 20,Calamandrei,856
Pizzeria Scacciapensieri,Pizzeria,Via Nazareno Orlandi 21,Calamandrei,614
Ristorante Colleverde,Pizzeria,Strada di Scacciapensieri 47,Calamandrei,974
Pizzeria Ristorante Camping Colleverde,Pizzeria,Strada di Scacciapensieri 47,Calamandrei,979
Bar Giglio,"Bar, Café, Restaurant",Via Colombini 32,Petriccio,297
Al Fiumino,"Wine Bar, Buffet, Gastropub",Via Giovanni Paolo II,Petriccio,672
Ristorante Il Mestolo,"Italian Restaurant, Seafood Restaurant",Via Fiorentina 81,Petriccio,580
Fontebecci,"Pizzeria, Italian Restaurant",Via Fiorentina 133,Petriccio,810
Pizzeria La Fenice Siena,Pizzeria,Via Fiorentina 88,Petriccio,648
