latitude,longitude,number_of_bikes,station_name,restaurant_name,categories,address,review_count,rating,distance
43.31653903296188,11.337211648409948,7,S. girolamo,Nannini,"Desserts, patisserie/cake shop, cafes",Via banchi di sopra 24,20.0,4.2,560.5996744621643
43.31653903296188,11.337211648409948,7,S. girolamo,L'orto de' pecci,Italian,Via di porta giustizia 39,2.0,5.0,250.27571170718153
43.31653903296188,11.337211648409948,7,S. girolamo,Osteria la sosta di violante,Trattoria,Via di pantaneto 115,,,123.0
43.31653903296188,11.337211648409948,7,S. girolamo,La prosciutteria,"Bar, italian restaurant, tapas restaurant",Via di pantaneto 89,,,223.0
43.31653903296188,11.337211648409948,7,S. girolamo,Gallo nero,Italian restaurant,Via del porrione 65,,,275.0
43.31653903296188,11.337211648409948,7,S. girolamo,Grotta gallo nero,Italian restaurant,Via porrione 65,,,295.0
43.31653903296188,11.337211648409948,7,S. girolamo,Gino cacino,Food and beverage retail,Piazza del mercato 31,,,399.0
43.31653903296188,11.337211648409948,7,S. girolamo,Ristorante la finestra,"Diner, italian restaurant",Piazza mercato 14,,,414.0
43.31653903296188,11.337211648409948,7,S. girolamo,La taverna di san giuseppe,"Tuscan restaurant, mediterranean restaurant",Via giovanni duprè 132,,,458.0
43.31653903296188,11.337211648409948,7,S. girolamo,Osteria il carroccio,Trattoria,Via casato di sotto 32,,,474.0
43.31653903296188,11.337211648409948,7,S. girolamo,La bottega del caffè,"Bar, café, restaurant",Via banchi di sotto 39,,,473.0
43.31653903296188,11.337211648409948,7,S. girolamo,Osteria castelvecchio,"Pizzeria, trattoria, tuscan restaurant",Via castelvecchio 65,,,567.0
43.3205234076899,11.32322528552777,10,Fortezza,La taverna di san giuseppe,Tuscan,Via giovanni dupre 132,169.0,4.8,885.992016456265
43.3205234076899,11.32322528552777,10,Fortezza,Zest,"Italian, wine bars",Costa di sant'antonio 13,26.0,4.7,458.7434934602833
43.3205234076899,11.32322528552777,10,Fortezza,Antica osteria da divo,Italian,Via franciosa 25,67.0,4.2,483.1803350838144
43.3205234076899,11.32322528552777,10,Fortezza,Il bargello,"Bars, trattorie, tuscan",Via di citta' 53,23.0,4.5,672.625868490733
43.3205234076899,11.32322528552777,10,Fortezza,La chiacchiera,Italian,Via costa di san antonio 4,23.0,4.3,461.976125360324
43.3205234076899,11.32322528552777,10,Fortezza,La prosciutteria,"Wine bars, tuscan",Via di pantaneto,34.0,4.7,1016.6053701749144
43.3205234076899,11.32322528552777,10,Fortezza,Café nannini,Cafes,Piazza matteotti 32,14.0,4.4,460.57547495669
43.3205234076899,11.32322528552777,10,Fortezza,Compagnia dei vinattieri,Tuscan,"Via delle terme, 79",24.0,4.3,558.3799412847043
43.3205234076899,11.32322528552777,10,Fortezza,Fonte giusta,Tuscan,Via camollia 102,21.0,4.6,653.4525306559705
43.3205234076899,11.32322528552777,10,Fortezza,Vi vace,"Pizza, italian",Via stalloreggi 64,34.0,4.3,701.5592869266634
43.3205234076899,11.32322528552777,10,Fortezza,Antica trattoria papei,"Tuscan, trattorie",Via del mercato 6,35.0,4.2,787.6409772933519
43.3205234076899,11.32322528552777,10,Fortezza,Ristorante san domenico,Tuscan,Via di camporegio 15,7.0,4.7,394.4324311798781
43.3205234076899,11.32322528552777,10,Fortezza,Numero unico,Italian,Via di citta 125,17.0,4.5,715.4319767767048
43.3205234076899,11.32322528552777,10,Fortezza,Taverna di cecco,Tuscan,Via cecco angliolieri 19,52.0,4.5,707.9836792142835
43.3205234076899,11.32322528552777,10,Fortezza,Il masgalano,"Tuscan, pizza",Via camporegio 1,4.0,4.8,333.4194326610983
43.3205234076899,11.32322528552777,10,Fortezza,Salefino vino e cucina,"Tuscan, wine bars",Via degli umiliati 1,11.0,4.5,579.4947325335404
43.3205234076899,11.32322528552777,10,Fortezza,Ri.me.,Tuscan,Via giovanni duprè 90,15.0,4.3,870.201133815654
43.3205234076899,11.32322528552777,10,Fortezza,Pizzeria alle scalette,Pizza,Viale curtatone 18,5.0,4.6,395.28932369786094
